"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R18,R17,R8,R7,R6,R5,R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";7;"10k";;;
2;"H**,H**";"65725ABEP";2;"65725ABEP";;;
3;"C10,C9,C13,C4,C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";5;"100n";;;
4;"J4,J5";"CUI_TB002-500-04BE";2;"CONN_04";;;
5;"U3,U2";"TO-220-7_P2.54x3.7mm_StaggerEven_Lead3.8mm_Vertical";2;"TLE5206-2S";;;
6;"J3,J8";"CUI_TB002-500-02BE";2;"CONN_02";;;
7;"L1";"DR127";1;"100u";;;
8;"R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"16k";;;
9;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"110k";;;
10;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"FM24C04B";;;
11;"Y1";"Crystal_SMD_HC49-SD";1;"16M";;;
12;"C12,C11";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"22p";;;
13;"C1,C2";"CP_EIA-7343-40_Kemet-Y_Pad2.25x2.55mm_HandSolder";2;"33u";;;
14;"C17,C15,C5";"CP_Radial_D6.3mm_P2.50mm";3;"100u";;;
15;"SW1";"SW_SPST_EVQPE1";1;"SW_Push";;;
16;"U4";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
17;"R16,R15,R14,R13,R12,R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"620";;;
18;"R10";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"4k7";;;
19;"R9";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2k4";;;
20;"REF**,REF**,REF**,REF**";"mount-raspi";4;"mount-raspi";;;
21;"U7,U6";"DIP-16_W7.62mm";2;"LTV-847";;;
22;"U1";"HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm";1;"BD9D321EFJ-E2";;;
23;"R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"22k";;;
24;"J7,J6";"PinHeader_2x04_P2.54mm_Vertical";2;"Conn_02x04_Odd_Even";;;
25;"J2";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
26;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
27;"F1";"154-series";1;"3,5A";;;
28;"C16,C6";"C_Rect_L4.0mm_W2.5mm_P2.50mm";2;"100n";;;
29;"C14";"C_Rect_L4.0mm_W2.5mm_P2.50mm";1;"100nF";;;
30;"C8";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"3n3";;;
31;"C7";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1u";;;
